"","title","primary_setting","secondary_setting","author_first","author_last","age","type","format","book_summary","group_1","group_2","own_voice","setting","continent","iso","iso2","region","author","Hardcover","Paperback","Audio","Out_of_Stock.Print","origin_1","origin_2","cultures"
"11","Four Feet, Two Sandals","Pakistan","","Karen Lynn and Khadra","Williams and Mohammed","7+","Picture Book","Available in Hardcover","When relief workers bring used clothing to the refugee camp, everyone scrambles to grab whatever they can. Ten-year-old Lina is thrilled when she finds a sandal that fits her foot perfectly, until she sees that another girl has the matching shoe. But soon Lina and Feroza meet and decide that it is better to share the sandals than for each to wear only one. As the girls go about their routines washing clothes in the river, waiting in long lines for water, and watching for their names to appear on the list to go to America the sandals remind them that friendship is what is most important. <em>Four Feet, Two Sandals</em> was inspired by a refugee girl who asked the authors why there were no books about children like her. With warm colors and sensitive brush strokes, this book portrays the strength, courage, and hope of refugees around the world, whose daily existence is marked by uncertainty and fear.","Afghani","","Yes","Pakistan","Asia","PK",NA,"South Asia","Karen Lynn and Khadra Williams and Mohammed","Yes",NA,NA,NA,"Afghani","","Afghani"
"12","A Refugee's Journey from Afghanistan","Afghanistan","Pakistan","Helen","Mason","9+","Non-fiction","Available in Library Edition & Paperback","Sonita was born in a refugee camp in Pakistan after her family fled Afghanistan during the war in the early 2000s. Unwelcome in Pakistan, her family returns to Afghanistan, where Sonita and her family face new challenges. Interspersed with facts about Afghanistan and its people, this narrative tells a story common to many refugees fleeing the country. Readers will learn about the decades of conflict in Afghanistan and how they can help refugees in their communities and around the world who are struggling to find permanent homes.","Afghani","","No","Afghanistan , Pakistan","Asia","AF","PK","South Asia","Helen Mason",NA,"Yes",NA,NA,"Afghani","","Afghani"
"13","The Breadwinner: A Graphic Novel","Afghanistan","","Deborah","Ellis","9+","Graphic Novel","Available in Hardcover & Paperback","This beautiful graphic-novel adaptation of The Breadwinner animated film tells the story of eleven-year-old Parvana who must disguise herself as a boy to support her family during the Taliban's rule in Afghanistan. Parvana lives with her family in one room of a bombed-out apartment building in Kabul, Afghanistan's capital city. Parvana's father a history teacher until his school was bombed and his health destroyed works from a blanket on the ground in the marketplace, reading letters for people who cannot read or write. One day, he is arrested for having forbidden books, and the family is left without someone who can earn money or even shop for food. As conditions for the family grow desperate, only one solution emerges. Forbidden to earn money as a girl, Parvana must transform herself into a boy, and become the breadwinner. Deborah Ellis's beloved novel has been adapted for film by Aircraft Pictures, Cartoon Saloon and Melusine Productions in association with Angelina Jolie's production company, jolie pas productions. The animated feature film, directed by Nora Twomey, will launch at festivals in fall 2017, with wide release in late fall 2017.","Afghani","","No","Afghanistan","Asia","AF",NA,"South Asia","Deborah Ellis","Yes","Yes",NA,NA,"Afghani","","Afghani"
"14","I'm an Immigrant Too","Australia","","Mem","Fox","4+","Picture Book","Available in Hardcover","Inspired by the plight of immigrants around the world, Mem Fox was moved to write this lyrical and rhyming exploration of the myriad ways immigrants have enriched her home country of Australia. Young readers everywhere will see themselves?and their friends and neighbors?in this powerful and moving picture book.","Afghani Australian","Syrian Australian","No","Australia","Oceania","AU",NA,"East Asia & Pacific","Mem Fox","Yes",NA,NA,NA,"Afghan","Syrian","Afghan , Syrian"
"15","My Two Blankets","Unspecified (Africa)","Australia","Irena","Kobald","6+","Picture Book","Available in Hardcover","Moving is hard but friends make it easier. In this stunning multicultural picture book illustrated by Kate Greenaway Medalist Freya Blackwood, a young girl has moved to a new country with her auntie, and misses all she's ever known. Everything in her new country feels so strange: the animals, the plants even the wind. To comfort herself, she creates a safe place under her old blanket, which is made out of memories, thoughts, and reminders of home. After meeting a new friend in the park, the girl begins to weave a new blanket one made of friendship, new words, and a renewed sense of belonging. It's very different from the old blanket, but it eventually becomes just as warm and familiar and one to share with her new friend.","African","","No","Unspecified (Africa) , Australia","Africa",NA,"AU",NA,"Irena Kobald","Yes",NA,NA,NA,"African","","African"
"16","The Seeds of Friendship","United States","","Michael","Foreman","6+","Picture Book","Available in Hardcover","How can Adam bring the green warmth of home to his new urban world? An inspiring fable from Michael Foreman about making friendship grow. Adam feels alone in the strange new city. He misses his old friends and the colors of his faraway home. It's fun to build snow animals with children in his new neighborhood, but Adam's concrete surroundings still make him wish for something more. So when a teacher gives him a few seeds, it plants an idea in himƒ??an idea that could transform his gray world forever.","African","","No","United States","Americas","US",NA,"North America","Michael Foreman","Yes",NA,NA,NA,"African","","African"
"17","Dream Country","Liberia","United States","Shannon","Gibney","15+","Young Adult","Available in Hardcover & Paperback","Dream Country begins in suburban Minneapolis at the moment when seventeen-year-old Kollie Flomo begins to crack under the strain of his life as a Liberian refugee. He's exhausted by being at once too black and not black enough for his African American peers and worn down by the expectations of his own Liberian family and community. When his frustration finally spills into violence and his parents send him back to Monrovia to reform school, the story shifts. Like Kollie, readers travel back to Liberia, but also back in time, to the early twentieth century and the point of view of Togar Somah, an eighteen-year-old indigenous Liberian on the run from government militias that would force him to work the plantations of the Congo people, descendants of the African American slaves who colonized Liberia almost a century earlier. When Togar's section draws to a shocking close, the novel jumps again, back to America in 1827, to the children of Yasmine Wright, who leave a Virginia plantation with their mother for Liberia, where they're promised freedom and a chance at self-determination by the American Colonization Society. The Wrights begin their section by fleeing the whip and by its close, they are then the ones who wield it. With each new section, the novel uncovers fresh hope and resonating heartbreak, all based on historical fact. In Dream Country, Shannon Gibney spins a riveting tale of the nightmarish spiral of death and exile connecting America and Africa, and of how one determined young dreamer tries to break free and gain control of her destiny.","African American","Liberian","No","Liberia , United States","Africa","LR","US","Sub-Saharan Africa","Shannon Gibney","Yes","Yes",NA,NA,"African American","Liberian","African American , Liberian"
"18","The Orange Houses","United States","","Paul","Griffin","15+","Young Adult","Available in Paperback","Tamika Sykes, AKA Mik, is hearing impaired and way too smart for her West Bronx high school. She copes by reading lips and selling homework answers, and looks forward to the time each day when she can be alone in her room drawing. She's a tough girl who mostly keeps to herself and can shut anyone out with the click of her hearing aid. But then she meets Fatima, a teenage refugee who sells newspapers, and Jimmi, a homeless vet who is shunned by the rest of the community, and her life takes an unexpected turn.","African American","Veterans Military","No","United States","Americas","US",NA,"North America","Paul Griffin",NA,"Yes",NA,NA,"African American","","African American"
"19","The Day You Begin","United States","","Jacqueline","Woodson","6+","Picture Book","Available in Hardcover","There will be times when you walk into a room and no one there is quite like you. There are many reasons to feel different. Maybe it's how you look or talk, or where you're from; maybe it's what you eat, or something just as random. It's not easy to take those first steps into a place where nobody really knows you yet, but somehow you do it. Jacqueline Woodson's lyrical text and Rafael Lopez's dazzling art reminds us that we all feel like outsiders sometimes-and how brave it is that we go forth anyway. And that sometimes, when we reach out and begin to share our stories, others will be happy to meet us halfway.","African American","Korean American","No","United States","Americas","US",NA,"North America","Jacqueline Woodson","Yes",NA,NA,NA,"African American","Korean","African American , Korean"
"20","Shelter","Fictional location","","Celine","Claire","4+","Picture Book","Available in Hardcover","As a big storm approaches, two strangers arrive in the forest. All the animal families, safe in their homes, are worried. They wonder, 'What are they doing there? What do they want?' So, as the pair knocks at the door of one home after another asking for shelter, all the animals turn them away, leaving them to fend for themselves. But then an accident suddenly forces the fox family out into the snow and the wind, and the foxes find they must ask these outsiders for help. Will they find it in their hearts to give it? Celine Claire's heartwarming picture book story delivers a timeless and timely message about the importance of kindness and generosity. With simple and evocative language, it explores how even small gestures can make a big difference to the strangers or outsiders in a community. Artist Qin Leng uses a warm, soft palette in her ink and watercolor illustrations creating a charming and inviting visual narrative that is perfect for young children. This book provides a wonderful opportunity for discussions about being welcoming and helping others in need, including how children can put this into practice by reaching out to the 'new kid' or the one who seems different. It also works well for character education lessons on kindness, caring and empathy.","Animals","","No","Fictional location",NA,NA,NA,NA,"Celine Claire","Yes",NA,NA,NA,"Animals","","Animals"
"21","Turtle Island","Fictional location","","Kevin","Sherry","5+","Picture Book","Available in Hardcover","Turtle is big. But the ocean is bigger. And Turtle is all alone. Until four shipwrecked folks a bear, an owl, a frog, and a cat climb to safety on his shell. Before long, they're fast friends, and the sea doesn't seem so vast anymore. But when Frog confides that he misses his family, Turtle doesn't understand. Isn't he their family? And when the group decides to sail for home, will Turtle be left behind? Never fear a surprise on the horizon promises friends, family, and a home at last. Uplifting and heartfelt, this is a book about the power of friendship and making a home of one's own.","Animals","Refugees","No","Fictional location",NA,NA,NA,NA,"Kevin Sherry","Yes",NA,NA,NA,"Animals","Refugees","Animals , Refugees"
"22","All Are Welcome","Unspecified","","Alexandra","Penfold","5+","Picture Book","Available in Hardcover","Follow a group of children through a day in their school, where everyone is welcomed with open arms. A school where kids in patkas, hijabs, and yarmulkes play side-by-side with friends in baseball caps. A school where students grow and learn from each other's traditions and the whole community gathers to celebrate the Lunar New Year. All Are Welcome lets young children know that no matter what, they have a place, they have a space, they are welcome in their school.","","","No","Unspecified",NA,NA,NA,NA,"Alexandra Penfold","Yes",NA,NA,NA,"Unspecified","","Unspecified"
"23","Not The Girls You're Looking For","Iraq","","Aminah","Mae Safi","12+","Middle Grade","Available in Hardcover, Paperback, Audio","Lulu Saad doesn't need your advice, thank you very much. She's got her three best friends and nothing can stop her from conquering the known world. Sure, for half a minute she thought she'd nearly drowned a cute guy at a party, but he was totally faking it. And fine, yes, she caused a scene during Ramadan. It's all under control. Ish. Except maybe this time she's done a little more damage than she realizes. And if Lulu can't find her way out of this mess soon, she'll have to do more than repair friendships, family alliances, and wet clothing. She'll have to go looking for herself.","Arab American","Iraqi American","Yes","Iraq","Asia","IQ",NA,"Middle East & North Africa","Aminah Mae Safi","Yes","Yes","Yes",NA,"Arab","Iraqi","Arab , Iraqi"
"24","19 Varieties of Gazelle","Armenia","Jerusalem","Namoi","Shihab Nye","12+","Non-fiction","Available in Hardcover & Paperback","""Tell me how to live so many lives at once ..."" Fowzi, who beats everyone at dominoes; Ibtisam, who wanted to be a doctor; Abu Mahmoud, who knows every eggplant and peach in his West Bank garden; mysterious Uncle Mohammed, who moved to the mountain; a girl in a red sweater dangling a book bag; children in velvet dresses who haunt the candy bowl at the party; Baba Kamalyari, age 71; Mr. Dajani and his swans; Sitti Khadra, who never lost her peace inside. Maybe they have something to tell us. Naomi Shihab Nye has been writing about being Arab-American, about Jerusalem, about the West Bank, about family all her life. These new and collected poems of the Middle East -- sixty in all -- appear together here for the first time.
","Arab American","Armenian","Yes","Armenia , Jerusalem","Asia","AM",NA,"Europe & Central Asia","Namoi Shihab Nye","Yes","Yes",NA,NA,"Arab","Armenian","Arab , Armenian"
"25","Life, After","Argentina","United States","Sarah","Darer Littman","12+","Young Adult","Out of Print","Dani's life in Argentina private school, a boyfriend, a loving family is crumbling quickly. To escape from a country in crisis, where it feels like every day the ground sinks a little more under their feet, Dani and her family move to the United States. It's supposed to be a fresh start, but when you're living in a cramped apartment and going to high school where all the classes are in another language - and not everyone is friendly - life in America isn't all it's cracked up to be. Dani misses her old friends, her life, Before. In addition, she must deal with an angry father who seems more like a stranger every day.","Argentinean American","Jewish","No","Argentina , United States","Americas","AR","US","Latin America & Caribbean","Sarah Darer Littman",NA,NA,NA,"Yes","Argentinian","Jewish","Argentinian , Jewish"
"26","Where Are You From?","United States","","Yamile Saied","Mendez","4+","Picture Book","Available in Hardcover","When a girl is asked where she?s from?where she?s really from?none of her answers seems to be the right one. Unsure about how to reply, she turns to her loving abuelo for help. He doesn?t give her the response she expects. She gets an even better one. Where am I from? You?re from hurricanes and dark storms, and a tiny singing frog that calls the island people home when the sun goes to sleep.... With themes of self-acceptance, identity, and home, this powerful, lyrical picture book will resonate with readers young and old, from all backgrounds and of all colors?especially anyone who ever felt that they don?t belong.","Argentinian American","","No","United States","Americas","US",NA,"North America","Yamile Saied Mendez","Yes",NA,NA,NA,"Argentinian","","Argentinian"
"27","No English","United States","","Jacqueline","Jules","6+","Picture Book","Out of Print","No English is all that Blanca, the new girl from Argentina, says. She spends her time drawing pictures instead of doing class work and that hardly seems fair to second-grader Diane. One misunderstanding follows another until Diane begins to see how afraid Blanca must feel in their classroom. Their teacher, Mrs. Bertram, helps her class understand that different is just different, not strange or weird. She encourages them to learn about Blanca's home country. Diane must make things right, but how will she do that when they don't speak the same language?","Argentinian American","","No","United States","Americas","US",NA,"North America","Jacqueline Jules",NA,NA,NA,"Yes","Argentinian","","Argentinian"
"28","The Secret Side of Empty","United States","","Maria","Andreu","12+","Young Adult","Available in Paperback","As a straight-A student with a budding romance and loyal best friend, M.T.'s life seems as apple-pie American as her blondish hair and pale skin. But M.T. hides two facts to the contrary: her full name of Monserrat Thalia and her status as an undocumented immigrant. With senior year of high school kicking into full swing, M.T. sees her hopes for a normal future unraveling. And it will take discovering a sense of trust in herself and others for M.T. to stake a claim in the life that she wants. Author Maria E. Andreu draws from her personal experience to tell a story that is timely, relevant, and universally poignant.","Argentinian American","","No","United States","Americas","US",NA,"North America","Maria Andreu",NA,"Yes",NA,NA,"Argentinian","","Argentinian"
"29","Ask Me No Questions","Bangladesh","","Marina","Budhos","12+","Middle Grade","Available in Paperback","""You forget. You forget you don't really exist here, that this isn't your home."" Since emigrating from Bangladesh, fourteen-year-old Nadira and her family have been living in New York City on expired visas, hoping to realize their dream of becoming legal U.S. citizens. But after 9/11, everything changes. Suddenly being Muslim means you are dangerous -- a suspected terrorist.
When Nadira's father is arrested and detained at the U.S.-Canadian border, Nadira and her older sister, Aisha, are told to carry on as if everything is the same. The teachers at Flushing High don't ask any questions, but Aisha falls apart. Nothing matters to her anymore -- not even college.
It's up to Nadira to be the strong one and bring her family back together again.
","Bangladeshi","Bangladeshi-American","Yes","Bangladesh","Asia","BD",NA,"South Asia","Marina Budhos",NA,"Yes",NA,NA,"Bangladeshi","Bangladeshi","Bangladeshi"
"30","The Gauntlet","Bangladesh","","Karuna","Riazi","9+","Chapter Book","Available in Hardcover & Paperback","A trio of friends from New York City find themselves trapped inside a mechanical board game that they must dismantle in order to save themselves and generations of other children in this action-packed debut that's a steampunk Jumanji with a Middle Eastern flair. Nothing can prepare you for The Gauntlet... It didn't look dangerous, exactly. When twelve-year-old Farah first laid eyes on the old-fashioned board game, she thought it looked...elegant. It is made of wood, etched with exquisite images a palace with domes and turrets, lattice-work windows that cast eerie shadows, a large spider and at the very center of its cover, in broad letters, is written: The Gauntlet of Blood and Sand. The Gauntlet is more than a game, though. It is the most ancient, the most dangerous kind of magic. It holds worlds inside worlds. And it takes players as prisoners.","Bangladeshi American","","Yes","Bangladesh","Asia","BD",NA,"South Asia","Karuna Riazi","Yes","Yes",NA,NA,"Bangladeshi","","Bangladeshi"
"31","The Love and Lies of Rukhsana Ali","United States","Bangladesh","Sabina","Khan","15+","Young Adult","Available in Hardcover & Paperback","With a welcome mix of humor, heart, and high-stakes drama, Sabina Khan provides a timely and honest portrait of what it's like to grow up feeling unwelcome in your own culture.","Bengali","Muslim","Yes","United States , Bangladesh","Americas","US","BD","North America","Sabina Khan","Yes","Yes",NA,NA,"Bengali","Muslim","Bengali , Muslim"
"32","The Story of a Pumpkin: A Traditional Tale from Bhutan","Bhutan","","Hari","Tiwari","6+","Picture Book","Out of Print","The tale begins: One day, a woman planted a pumpkin seed. It grew and the plant bore fruit. When the pumpkin was young, the woman went to pick it. The pumpkin said, Don't pick me now. I'm too young. Let me stay here a while to mature, and I will come to the house by myself. The woman was surprised that the pumpkin she planted had begun to talk. But she did not pick it.","Bhutanese","","Yes","Bhutan","Asia","BT",NA,"South Asia","Hari Tiwari",NA,NA,NA,"Yes","Bhutanese","","Bhutanese"
"33","We Are All That's Left","Bosnia and Herzegovina","Bosnia","Carrie","Arcos","12+","Middle Grade","Available in Hardcover","Zara and her mother, Nadja, have a strained relationship. Nadja just doesn't understand Zara's creative passion for, and self-expression through, photography. And Zara doesn't know how to reach beyond their differences and connect to a closed-off mother who refuses to speak about her past in Bosnia. But when a bomb explodes as they're shopping in their local farmers' market in Rhode Island, Zara is left with PTSD--and her mother is left in a coma. Without the opportunity to get to know her mother, Zara is left with questions--not just about her mother, but about faith, religion, history, and her own path forward. As Zara tries to sort through her confusion, she meets Joseph, whose grandmother is also in the hospital, and whose exploration of religion and philosophy offer comfort and insight into Zara's own line of thinking. Told in chapters that alternate between Zara's present-day Providence, RI, and Nadja's own childhood in Bosnia and Herzegovina during the Bosnian War of the 1990s, We Are All That's Left shows the ways in which, no matter the time and place, struggle and tragedy can give way to connection, healing and love.","Bosnian","Bosnian American","No","Bosnia and Herzegovina , Bosnia","Europe","BA","BA","Europe & Central Asia","Carrie Arcos","Yes",NA,NA,NA,"Bosnian","Bosnian","Bosnian"
"34","Swan Dive","Canada","","Brenda","Hasuik","14+","Young Adult","Available in Hardcover","Refugees from the Bosnian War, Lazar?s family flees the Siege of Sarajevo and arrives in Winnipeg in the early 1990s. Despite various mini dramas unfolding at home, as his parents and older sisters navigate a new language, the bitter cold and a strange city and country, Lazar manages to find a place for himself at school, largely by making friends with Elle, a sassy, outspoken girl who divides her time between living with her hoarder mother (who stuffs their tiny apartment with bargains she finds at Liquidation World) and her hippie father, Jimmy, who lives in British Columbia. But as two geeky loners, Elle and Lazar are happy in their own bubble of friendship, especially after they form a pop duo and dream of making it big on Star Search. Soon Lazar?s desperate escape out of Sarajevo seems far away, even as the trauma of his broken homeland looms large with his family at home. Then Elle comes back from Vancouver after a summer at Jimmy?s, and things are different. They?re in high school, Elle has lost weight and blossomed into popularity, while Lazar remains small, skinny and forgettable. She seems to have forgotten all about their singing plans and starts spending time with a new kid, Ivan. Lazar is unmoored and filled with new longings ? for Elle, for Ivan, for a sense that he belongs somewhere. His mother and older sisters worry about his health, that he?s so thin, that he?s not interested in sports, even though the doctors can?t find anything wrong. And then, in an impulsive moment, Lazar tells Ivan that he?s seriously ill. And with this one reckless lie he suddenly gets ? and loses ? everything he thought he wanted.","Bosnian","","No","Canada","Americas","CA",NA,"North America","Brenda Hasuik","Yes",NA,NA,NA,"Bosnian","","Bosnian"
"35","Dario and the Whale","United States","","Cheryl Lawton","Malone","4+","Picture Book","Available in Hardcover","When Dario and his mother move to Cape Cod from Brazil, Dario has a hard time making friends since he doesn't speak English well. But one day Dario meets someone else who has just arrived in New England and he doesn't speak any English at all?because he's a right whale! Day after day Dario and the whale meet at the beach. But what will happen when it's time for the whale to migrate?","Brazilian","","No","United States","Americas","US",NA,"North America","Cheryl Lawton Malone","Yes",NA,NA,NA,"Brazilian","","Brazilian"
"36","The New Neighbors","Fictional location","","Sarah","McIntyre","3+","Picture Book","Available in Hardcover","The bunnies upstairs are thrilled to find out that rats have moved into the first-floor apartment. But when other neighbors discover the news, excitement soon turns to jitters, panic, and worse! As the residents descend the stairs to investigate, the rats prepare a yummy dessert. Will all of the animals make the rats leave, or can fear be conquered with delicious, homemade cake?","Animals","Rats","No","Fictional location",NA,NA,NA,NA,"Sarah McIntyre","Yes",NA,NA,NA,"Animals","Animals","Animals"
"37","Bamboo People","Myanmar","","Mitali","Perkins","11+","Middle Grade","Available in Paperback","This coming-of-age story is narrated by two fourteen-year-old boys on opposing sides of the conflict between the Burmese government and the Karenni, one of the many ethnic minorities in Burma. Chiko, a studious Burmese youth, has been seized by the government for his liberal views and is conscripted into the Burmese army. Tu Reh, a Karenni boy whose home and bamboo fields are destroyed by the Burmese soldiers, is eager to fight for his people. When Chiko and Tu Reh meet, a close friendship is forged, demonstrating their courage to overcome violence and prejudice.","Burmese","Karenni","Yes","Myanmar","Asia","MM",NA,"East Asia & Pacific","Mitali Perkins",NA,"Yes",NA,NA,"Burmese","Karenni","Burmese , Karenni"
